Age,Total
0-4,717267
5-9,730890
10-14,787696
15-19,807565
20-24,820147
25-29,765815
30-34,730538
35-39,691601
40-44,602204
45-49,498356
50-54,414768
55-59,330158
60-64,265574
65-69,199911
70-74,137809
75-79,93002
80-84,54279
85-89,27288
90+,15877
