Age,Total
0-4,125436
5-9,125619
10-14,132027
15-19,136994
20-24,144051
25-29,137673
30-34,131322
35-39,126007
40-44,114987
45-49,94634
50-54,82545
55-59,67721
60-64,53833
65-69,42077
70-74,30583
75-79,20791
80-84,13598
85-89,6872
90+,3478
