Age,Total
0-4,1327359
5-9,1323244
10-14,1342440
15-19,1496408
20-24,1690978
25-29,1703642
30-34,1714315
35-39,1693068
40-44,1585762
45-49,1397853
50-54,1337134
55-59,1237552
60-64,1058733
65-69,830481
70-74,606872
75-79,415261
80-84,278023
85-89,152448
90+,101093
