Age,Total
0-4,251860
5-9,261064
10-14,280570
15-19,305150
20-24,315125
25-29,277643
30-34,259260
35-39,253408
40-44,233882
45-49,200367
50-54,180904
55-59,148805
60-64,119410
65-69,95047
70-74,69942
75-79,47000
80-84,28631
85-89,14282
90+,8742
