Age,Total
0-4,788781
5-9,769841
10-14,752422
15-19,808072
20-24,909312
25-29,921471
30-34,890938
35-39,872659
40-44,829354
45-49,774743
50-54,746135
55-59,671299
60-64,554705
65-69,439203
70-74,321432
75-79,215843
80-84,137065
85-89,72498
90+,41067
