Age,Total
0-4,59429
5-9,55499
10-14,53536
15-19,53438
20-24,60916
25-29,63061
30-34,59214
35-39,54063
40-44,44208
45-49,34456
50-54,27439
55-59,21951
60-64,16481
65-69,11602
70-74,7566
75-79,4305
80-84,2386
85-89,1087
90+,544
