Age,Total
0-4,283130
5-9,269338
10-14,267403
15-19,268705
20-24,286015
25-29,293399
30-34,295743
35-39,288797
40-44,265548
45-49,232085
50-54,206765
55-59,175476
60-64,137271
65-69,99697
70-74,67859
75-79,43484
80-84,26085
85-89,12452
90+,6968
