Age,Total
0-4,708058
5-9,695260
10-14,672532
15-19,765231
20-24,857443
25-29,863706
30-34,852038
35-39,874866
40-44,791926
45-49,727364
50-54,735190
55-59,735652
60-64,644179
65-69,522572
70-74,390263
75-79,260635
80-84,169594
85-89,94466
90+,61998
