Age,Total
0-4,237720
5-9,244661
10-14,257979
15-19,272210
20-24,296079
25-29,296133
30-34,308197
35-39,288451
40-44,253221
45-49,222363
50-54,211310
55-59,183984
60-64,136938
65-69,103294
70-74,88004
75-79,58711
80-84,40416
85-89,19969
90+,14525
