Age,Total
0-4,587403
5-9,587909
10-14,654966
15-19,665719
20-24,674011
25-29,603246
30-34,586595
35-39,552389
40-44,473307
45-49,380504
50-54,330568
55-59,276235
60-64,223963
65-69,179357
70-74,131701
75-79,92546
80-84,60327
85-89,31965
90+,21887
