Age,Total
0-4,139925
5-9,135938
10-14,137286
15-19,149988
20-24,156601
25-29,156992
30-34,155050
35-39,149596
40-44,133711
45-49,115427
50-54,102378
55-59,85430
60-64,65251
65-69,46173
70-74,29910
75-79,18578
80-84,10632
85-89,4907
90+,2687
