Age,Total
0-4,403816
5-9,406968
10-14,399177
15-19,388197
20-24,405227
25-29,370216
30-34,342570
35-39,321898
40-44,281555
45-49,228157
50-54,185820
55-59,148290
60-64,113860
65-69,82333
70-74,54887
75-79,36050
80-84,21274
85-89,10885
90+,6534
