Age,Total
0-4,82983
5-9,84864
10-14,89474
15-19,92557
20-24,87475
25-29,76480
30-34,69833
35-39,66708
40-44,58117
45-49,46681
50-54,38523
55-59,29628
60-64,23392
65-69,17635
70-74,12405
75-79,8499
80-84,4963
85-89,2587
90+,1666
