Age,Total
0-4,237485
5-9,236899
10-14,256971
15-19,286198
20-24,290434
25-29,263560
30-34,264157
35-39,253728
40-44,234938
45-49,197055
50-54,179878
55-59,157366
60-64,128689
65-69,103233
70-74,77791
75-79,52578
80-84,34243
85-89,16581
90+,8913
