Age,Total
0-4,285840
5-9,272351
10-14,302737
15-19,328079
20-24,336002
25-29,326968
30-34,324118
35-39,316726
40-44,292722
45-49,255016
50-54,235156
55-59,202693
60-64,158602
65-69,129497
70-74,106400
75-79,74019
80-84,51693
85-89,24843
90+,15815
