Age,Total
0-4,219187
5-9,216099
10-14,203316
15-19,207419
20-24,224389
25-29,229143
30-34,224095
35-39,220896
40-44,202223
45-49,180834
50-54,165221
55-59,148250
60-64,118658
65-69,90812
70-74,64144
75-79,43704
80-84,28029
85-89,14544
90+,8431
