Age,Total
0-4,3038361
5-9,3042098
10-14,2957679
15-19,3127121
20-24,3448513
25-29,3511090
30-34,3809963
35-39,3854180
40-44,3548754
45-49,3141667
50-54,2904703
55-59,2632224
60-64,2266765
65-69,1780635
70-74,1297671
75-79,850465
80-84,562367
85-89,309125
90+,205952
