Age,Total
0-4,169642
5-9,171195
10-14,179317
15-19,187027
20-24,208998
25-29,199476
30-34,197810
35-39,187963
40-44,168830
45-49,146169
50-54,131783
55-59,108213
60-64,83690
65-69,64803
70-74,47714
75-79,31403
80-84,19576
85-89,9951
90+,5472
