Age,Total
0-4,205920
5-9,188932
10-14,207013
15-19,239309
20-24,252866
25-29,254016
30-34,266884
35-39,279823
40-44,259076
45-49,214700
50-54,185764
55-59,152022
60-64,116331
65-69,87758
70-74,61182
75-79,38595
80-84,24705
85-89,11568
90+,6082
