Age,Total
0-4,486588
5-9,464458
10-14,445854
15-19,470637
20-24,557407
25-29,595243
30-34,614073
35-39,600893
40-44,532760
45-49,484233
50-54,468928
55-59,436808
60-64,353631
65-69,274850
70-74,194547
75-79,124172
80-84,78871
85-89,41477
90+,27072
