Age,Total
0-4,1025876
5-9,1032020
10-14,1111347
15-19,1203434
20-24,1263882
25-29,1202728
30-34,1197342
35-39,1246201
40-44,1131342
45-49,946298
50-54,859318
55-59,728869
60-64,603215
65-69,465783
70-74,357024
75-79,249417
80-84,162324
85-89,85839
90+,58165
