Age,Total
0-4,1123644
5-9,1101069
10-14,1055135
15-19,1138147
20-24,1330666
25-29,1308060
30-34,1327667
35-39,1364964
40-44,1309321
45-49,1167534
50-54,1104866
55-59,1042020
60-64,916943
65-69,728494
70-74,536424
75-79,351778
80-84,235872
85-89,131986
90+,91599
