Age,Total
0-4,80179
5-9,80576
10-14,81075
15-19,84379
20-24,84256
25-29,79556
30-34,74096
35-39,67485
40-44,57193
45-49,47417
50-54,37231
55-59,28388
60-64,21721
65-69,14985
70-74,9294
75-79,6598
80-84,3877
85-89,2037
90+,1430
