Age,Total
0-4,515325
5-9,519442
10-14,495022
15-19,520169
20-24,575533
25-29,592785
30-34,608557
35-39,591703
40-44,550774
45-49,481491
50-54,430156
55-59,362168
60-64,287692
65-69,217638
70-74,154407
75-79,101787
80-84,63458
85-89,31158
90+,16878
