Age,Total
0-4,656863
5-9,643343
10-14,677834
15-19,720818
20-24,824514
25-29,803522
30-34,784859
35-39,720751
40-44,642514
45-49,559412
50-54,518399
55-59,451900
60-64,344330
65-69,276083
70-74,220871
75-79,151362
80-84,105292
85-89,52061
90+,33158
