Age,Total
0-4,684784
5-9,707015
10-14,731246
15-19,776364
20-24,817972
25-29,773857
30-34,778075
35-39,754062
40-44,699133
45-49,616927
50-54,553216
55-59,471720
60-64,379837
65-69,298034
70-74,232220
75-79,156904
80-84,103921
85-89,50793
90+,30992
