city_ibge_code,city,state,epidemiological_week,growth_accel_rate,growth_rate_NORM_(%),growth_accel_NORM_(%),growth_accel_rate_NORM_(%),LENTO,EXPONENCIAL,DESACELERACAO,ESTAVEL,LINEAR,CLASSIFICACAO,date,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,leitos,UTI_adulto_COVID19
3550308,São Paulo,SP,29,-2.625684890633173,1.1935849189539125,-0.004006204351583646,-0.0017048462731283547,0,0,0,0,1,LINEAR,2020-07-14,154013.0,370.63884106371063,10318.15,382.7217741454626,6474.85,385.879986401278,1799.6499999999994,520.1042496228594,154013,8231,12252023.0,1257.04139,0.0534,28987,2001
3304557,Rio de Janeiro,RJ,29,-0.97919336583464,1.0728133678271767,-0.013657640120776988,-0.0015149584061803047,0,0,1,0,0,DESACELERACAO,2020-07-14,64635.0,246.2880140376016,4544.06,254.195565379465,3126.28,255.9471958404426,561.6400000000009,348.75863742969597,64635,7355,6718903.0,961.9874,0.1138,14888,826
5300108,Brasília,DF,29,-1.7583732696866623,1.6932397442824074,0.018679277071740445,-0.002728275049940516,0,1,0,0,0,EXPONENCIAL,2020-07-14,64450.0,247.24916806960368,3784.8,253.90040431458766,2677.86,255.45816822155268,1213.88,328.9141574295272,64450,853,3015268.0,2137.455110000001,0.0132,7106,215
4314902,Porto Alegre,RS,29,-0.02183211854286373,1.6966375816243957,0.036355227064611965,-0.0005249367286093708,0,1,0,0,0,EXPONENCIAL,2020-07-14,4159.0,63.723894635173934,304.37000000000006,65.55408185212228,235.13,66.0026571243518,116.42000000000007,83.48421624245006,4159,179,1483771.0,280.29932,0.043,6974,108
5208707,Goiânia,GO,29,-0.3334369096527866,1.5720542946407412,0.00439494117265325,-0.0035389185910930437,0,0,0,0,1,LINEAR,2020-07-14,9422.000000000002,92.48465884249194,564.95,95.15494428148294,471.38,95.57771194798569,148.4500000000001,126.21275393380638,9422,273,1516113.0,621.4576400000002,0.029,6624,140
2611606,Recife,PE,29,-0.045577849874316775,0.8515410767335416,-0.008255224429980081,-0.00019752903646665847,0,0,0,1,0,ESTAVEL,2020-07-14,23074.0,148.03684840217483,1394.02,152.2628302799094,1201.72,152.89522911081457,145.8900000000001,206.97051159451908,23074,1974,1645727.0,1402.05514,0.0856,9310,817
4106902,Curitiba,PR,29,-0.2495832455997548,2.0268269755388117,0.05777951568838706,-0.002675348328864345,0,1,0,0,0,EXPONENCIAL,2020-07-14,9329.0,91.3038539020875,622.6100000000001,94.30489402662909,465.6,94.77517099627802,351.45000000000016,113.9811640074133,9329,262,1933105.0,482.59148,0.0281,5846,206
2408102,Natal,RN,29,-0.743711988482292,1.4925220585359638,-0.010414348991395534,-0.00502508100325873,0,0,1,0,0,DESACELERACAO,2020-07-14,14799.999999999998,112.5171968898959,909.7099999999997,115.76228529171148,780.28,116.24753027896809,161.79999999999973,158.0563637223485,14800,589,884122.0,1673.97712,0.0398,3198,177
4205407,Florianópolis,SC,29,0.029112804399606063,1.5606322731267734,0.04159087436295916,0.0013185146920111446,0,1,0,0,0,EXPONENCIAL,2020-07-14,2208.0,45.51078238320359,144.22,46.84448007109604,114.05,47.0471339523601,50.72,60.0374268959191,2208,30,500973.0,440.74232,0.0136,1583,95
1302603,Manaus,AM,29,-0.15470817184704336,0.9322755513771288,-0.010790736111961869,-0.0005049222318767733,0,0,1,0,0,DESACELERACAO,2020-07-14,30640.0,166.2883196515175,1408.87,170.02373585039606,1229.47,170.51774058005006,164.16000000000008,236.6038817188857,30640,1909,2182763.0,1403.72546,0.0623,3674,254
2927408,Salvador,BA,29,-1.0575845911734394,1.4652083034512484,0.0045952174174940606,-0.0024072121618187265,0,0,0,0,1,LINEAR,2020-07-14,43933.999999999985,203.44610285694043,2682.05,209.1363795891972,2395.6,209.71272080557438,633.0300000000002,275.54301261877487,43934,1459,2872347.0,1529.55057,0.0332,8822,663
5002704,Campo Grande,MS,29,-0.20783769468119848,2.0024293344361888,0.040792303541551465,-0.004479260661232725,0,1,0,0,0,EXPONENCIAL,2020-07-14,4640.000000000001,65.94670636815822,278.04,67.6633880382004,219.28,67.93361230501496,128.81000000000003,83.5218904893148,4640,37,895982.0,517.86755,0.008,2276,54
2304400,Fortaleza,CE,29,-0.32750572652024185,0.8190535502541488,-0.017377544307304385,-0.0008586485410315187,0,0,1,0,0,DESACELERACAO,2020-07-14,38142.0,190.9576218257164,2314.56,195.9152049569745,1995.01,196.58865031667858,171.01000000000022,271.72575955744554,38142,3534,2669342.0,1428.89146,0.0927,8779,397
3106200,Belo Horizonte,MG,29,-0.40022648497042185,1.7868813474965446,0.034481011930462824,-0.003769320822851967,0,1,0,0,0,EXPONENCIAL,2020-07-14,10617.999999999998,96.71282492539707,720.5,99.82517270233248,548.66,100.52745647359484,345.12,123.34100077722442,10618,270,2512070.0,422.6793,0.0254,8797,342
3547809,Santo André,SP,29,-0.27771991267890583,1.4001381250705272,-0.002055190573009931,-0.003348847373434292,0,0,0,0,1,LINEAR,2020-07-14,8293.0,87.41994086366142,551.9599999999998,90.11080213052185,346.48,90.9939902444445,124.23999999999997,121.55059244295076,8293,310,718773.0,1153.7717699999996,0.0374,1923,70
