,date,city,city_ibge_code,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,growth_rate,growth_accel,growth_accel_rate,growth_rate_NORM_(%),growth_accel_NORM_(%),growth_accel_rate_NORM_(%),LENTO,EXPONENCIAL,DESACELERACAO,ESTAVEL,LINEAR,CLASSIFICACAO
1204,2020-07-02,Flores da Cunha,4308201,27,30745.0,True,False,110,357.78175,2020-07-02,0.0091,1,78,city,RS,2,0,2.5133318919478875,0.08634324659518286,0.0012526085970105407,2.2848471744980796,0.07849386054107534,0.0011387350881914007,0,1,0,0,0,EXPONENCIAL
1205,2020-07-02,Arabutã,4201273,27,4267.0,True,False,33,773.37708,2020-07-02,0.0,0,78,city,SC,0,0,0.2897533790537184,-0.008996826039899479,-0.0003098681703542707,0.8780405425870255,-0.027263109211816603,-0.0009389944556190021,1,0,1,0,0,LENTO
1206,2020-07-02,Armazém,4201505,27,8674.0,True,False,33,380.44731,2020-07-02,0.0,0,78,city,SC,0,0,0.334507389904616,0.0039031091860809047,0.001090712601825219,1.013658757286715,0.01182760359418456,0.0033051897025006636,1,1,0,0,0,LENTO
1207,2020-07-02,Concórdia,4204301,27,74641.0,True,False,1263,1692.09952,2020-07-02,0.0103,13,78,city,SC,25,0,16.000298523205007,-0.25047785793100286,0.0045075648494895815,1.2668486558357093,-0.019831976083214794,0.0003568934956048758,0,0,1,0,0,DESACELERACAO
1208,2020-07-02,Lindóia do Sul,4209854,27,4563.0,True,False,74,1621.74008,2020-07-02,0.0,0,78,city,SC,1,0,0.7158254577821483,-0.007016245110472075,5.978382869767141e-05,0.9673316997056058,-0.00948141231144875,8.078895769955596e-05,0,0,0,1,0,ESTAVEL
1209,2020-07-02,Nova Veneza,4211603,27,15166.0,True,False,78,514.30832,2020-07-02,0.0,0,78,city,SC,2,0,1.2672862791111328,0.03690852404934494,0.005934867961501176,1.6247259988604266,0.04731862057608326,0.0076088050788476625,0,1,0,0,0,EXPONENCIAL
1210,2020-07-02,Pouso Redondo,4213708,27,17453.0,True,False,8,45.83739,2020-07-02,0.125,1,78,city,SC,0,0,0.14174325797686924,0.003167199438715878,-0.00028467466321504804,1.7717907247108655,0.039589992983948476,-0.0035584332901881007,1,1,0,0,0,LENTO
1211,2020-07-02,Itabaianinha,2803005,27,41928.0,False,True,294,701.20206,2020-07-01,0.0272,8,78,city,SE,0,0,4.9428635023086525,0.06561664237792533,-0.0005871374570252328,1.68124608922063,0.022318585842831747,-0.00019970661803579348,0,1,0,0,0,EXPONENCIAL
1212,2020-07-02,Lagarto,2803500,27,104408.0,False,True,565,541.1462700000001,2020-07-01,0.0319,18,78,city,SE,0,0,11.071230924693872,0.1954982777217335,-0.008826884690883784,1.9595098981759063,0.034601465083492655,-0.0015622804762626167,0,1,0,0,0,EXPONENCIAL
1213,2020-07-02,Alambari,3500758,27,6025.0,False,True,16,265.56017,2020-07-01,0.0,0,78,city,SP,0,0,0.33631358550441887,0.013449618863617006,0.0001130860668136329,2.101959909402618,0.08406011789760628,0.0007067879175852056,1,1,0,0,0,LENTO
