,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-21,2.0,1.3478752452536837,0.0,1.3478752452536837,0.0,1.3478752452536837,0.0,1.3478752452536837,2,0,399213.0,0.5009899999999999,0.0
2020-03-22,2.0,1.349597770231613,0.0,1.349597770231613,0.0,1.349597770231613,0.0,1.349597770231613,2,0,399213.0,0.5009899999999999,0.0
2020-03-23,2.0,1.3565404602156255,0.0,1.3565404602156255,0.0,1.3565404602156255,0.0,1.3565404602156255,2,0,399213.0,0.5009899999999999,0.0
2020-03-24,6.999999999999999,2.5148046493201863,0.0,2.5148046493201863,0.0,2.5148046493201863,0.0,2.5148046493201863,7,0,399213.0,1.75345,0.0
2020-03-25,7.0,2.5717187586782067,0.0,2.5717187586782067,0.0,2.5717187586782067,0.0,2.5717187586782067,7,0,399213.0,1.75345,0.0
2020-03-26,9.0,2.7696770770454653,0.0,2.7696770770454653,0.0,2.7696770770454653,0.0,2.7696770770454653,9,0,399213.0,2.25444,0.0
2020-03-27,9.0,2.860811497502487,0.08,2.8736461898157235,0.0,2.8736461898157235,0.08,2.8736461898157235,9,0,399213.0,2.25444,0.0
2020-03-28,13.0,3.3133034569715765,0.24,3.3471450219522607,0.0,3.3471450219522607,0.24,3.3471450219522607,13,0,399213.0,3.25641,0.0
2020-03-29,13.0,3.431464628252708,0.22,3.4609752231054034,0.0,3.4609752231054034,0.22,3.4609752231054034,13,0,399213.0,3.25641,0.0
2020-03-30,13.0,3.4166260160183364,0.18,3.4412110271433995,0.0,3.4412110271433995,0.18,3.4412110271433995,13,0,399213.0,3.25641,0.0
2020-03-31,12.999999999999998,3.41286928663797,0.25,3.4472274029539687,0.0,3.4472274029539687,0.25,3.4472274029539687,13,0,399213.0,3.25641,0.0
2020-04-01,23.0,4.6658440833466575,0.45,4.709819636684722,0.0,4.709819636684722,0.45,4.709819636684722,23,0,399213.0,5.761340000000001,0.0
2020-04-02,24.0,4.691406284824725,0.61,4.750809713016606,0.0,4.750809713016606,0.61,4.750809713016606,24,0,399213.0,6.011830000000001,0.0
2020-04-03,31.0,5.240055516707989,0.8400000000000001,5.310911580715859,0.0,5.310911580715859,0.8400000000000001,5.310911580715859,31,1,399213.0,7.765280000000001,0.0323
2020-04-04,36.0,5.666631015930636,1.08,5.755007130378474,0.96,5.758342389152201,1.08,5.755007130378474,36,1,399213.0,9.01774,0.0278
2020-04-05,36.0,5.763241231715839,1.08,5.8478499890942395,0.96,5.8511323258792824,1.08,6.001563432670161,36,1,399213.0,9.01774,0.0278
2020-04-06,36.0,5.8236196179477115,1.13,5.912465260324618,0.98,5.914122543078174,1.13,6.066089965929245,36,1,399213.0,9.01774,0.0278
2020-04-07,42.00000000000001,6.43546047421251,1.31,6.522810093445271,0.96,6.5257529462240225,1.31,6.990800665116545,42,1,399213.0,10.5207,0.0238
2020-04-08,45.00000000000001,6.4814732082679285,1.27,6.571376944712193,0.94,6.5756668824914595,1.27,7.05667997880252,45,1,399213.0,11.27218,0.0222
2020-04-09,56.0,7.036858229165467,2.05,7.16656638407639,1.91,7.172278141383931,2.05,7.683149409485986,56,2,399213.0,14.0276,0.0357
2020-04-10,68.0,7.834061861673371,2.16,7.9648807431452004,1.9,7.970528542858701,2.08,8.467418005317068,68,2,399213.0,17.03351,0.0294
2020-04-11,70.0,7.857223402446923,2.24,7.9955837557966705,1.88,8.003434237623221,2.0,8.66791436240226,70,2,399213.0,17.5345,0.0286
2020-04-12,74.0,8.118242333526304,2.4299999999999997,8.258847291593337,1.86,8.267342897561381,2.2099999999999995,8.954714293644889,74,2,399213.0,18.53647,0.027000000000000003
2020-04-13,104.0,9.836214267242815,4.050000000000001,10.029337521048491,3.89,10.035213555829847,3.8700000000000006,10.603279890884917,104,2,399213.0,26.05126,0.0192
2020-04-14,105.0,9.721474718738445,3.94,9.889017681603708,2.87,9.894734494016035,3.69,10.472633263642317,105,2,399213.0,26.30175,0.019
2020-04-15,131.0,11.128623572853144,5.03,11.325341611901278,4.87,11.331216290684008,4.58,12.265633438039947,131,2,399213.0,32.81456,0.0153
2020-04-16,147.0,11.812953000239128,5.78,12.032973804752448,4.71,12.044847802519492,5.17,12.93687178243456,147,2,399213.0,36.82245,0.0136
2020-04-17,183.00000000000003,12.419266557175662,7.32,12.682640963860083,6.7,12.695644206505703,6.48,13.74973322055245,183,2,399213.0,45.84019,0.0109
2020-04-18,200.0,13.48094802289363,8.39,13.749503976360735,7.73,13.759577013700664,7.3100000000000005,14.905333497331307,200,2,399213.0,50.09857,0.01
2020-04-19,222.0,14.547234108311459,8.61,14.820833991446644,7.59,14.832363945171393,7.529999999999999,15.93281110466605,222,2,399213.0,55.60941,0.009000000000000001
2020-04-20,225.00000000000003,14.81612553124385,9.46,15.12062087870653,8.65,15.136072005562601,8.330000000000002,16.235468001019292,225,2,399213.0,56.360890000000005,0.0089
2020-04-21,252.0,14.809231355250459,10.32,15.115804091523989,9.59,15.129753247602334,9.01,16.463128039606715,252,2,399213.0,63.1242,0.0079
2020-04-22,262.0,15.39353137135232,10.870000000000001,15.708975398822423,9.51,15.724560664158732,9.600000000000001,17.028062221823806,262,2,399213.0,65.62913,0.0076
2020-04-23,267.99999999999994,15.89220633588119,11.32,16.19579643679872,10.45,16.213923714580073,9.27,17.710547590619434,268,2,399213.0,67.13208,0.0075
2020-04-24,307.0,16.488673798591677,13.1,16.885809534528203,12.42,16.898939719294923,10.94,18.67002648334728,307,2,399213.0,76.9013,0.0065
2020-04-25,356.0,17.95155095857129,15.790000000000001,18.35729505722948,14.31,18.378361782764586,13.55,20.02297783583005,356,3,399213.0,89.17545,0.0084
2020-04-26,362.0,18.689780062587115,15.56,19.040942171748718,14.39,19.055586550612365,13.13,20.75490393554587,362,3,399213.0,90.67841,0.0083
2020-04-27,383.0,18.460670725527926,16.65,18.87666452624413,15.23,18.895649330900582,12.599999999999998,21.375595307440555,383,3,399213.0,95.93876,0.0078
2020-04-28,383.0,18.721353874896202,16.400000000000002,19.08952306656955,15.16,19.110318964085632,12.460000000000003,21.49889675346532,383,3,399213.0,95.93876,0.0078
2020-04-29,384.0,18.482374896592205,16.3,18.86060926423592,15.39,18.876453104812402,11.27,21.99968055323632,384,3,399213.0,96.18925,0.0078
2020-04-30,461.99999999999994,20.503027615797173,20.01,20.955544407486563,18.9,20.98439518819023,14.23,24.16458772667144,462,6,399213.0,115.72769,0.013000000000000001
2020-05-01,462.00000000000006,20.08408586544344,19.819999999999997,20.508098523522484,18.21,20.522378152897023,12.499999999999996,24.112890471046537,462,6,399213.0,115.72769,0.013000000000000001
2020-05-02,461.99999999999994,20.859544723234162,19.66,21.261618143043727,18.14,21.281372278605676,11.27,25.320056588731507,462,6,399213.0,115.72769,0.013000000000000001
2020-05-03,475.0,20.91914690112164,20.45,21.36050577750225,18.91,21.39189348960739,11.84,25.99862164178569,475,6,399213.0,118.9841,0.0126
2020-05-04,513.0,21.82363652352905,22.16,22.247770924546824,20.87,22.270078830374874,12.7,26.89974882538287,513,10,399213.0,128.50283000000002,0.0195
2020-05-05,714.0,26.00463439660343,31.400000000000002,26.56742008741177,29.52,26.590927214014375,21.080000000000002,30.566572320663365,714,10,399213.0,178.85189,0.013999999999999999
2020-05-06,771.0,27.192657208529774,34.160000000000004,27.76267649310142,32.37,27.793152143299725,23.290000000000003,31.8988732425052,771,12,399213.0,193.12998000000002,0.0156
2020-05-07,839.9999999999999,27.22786006347843,37.24,27.80415011534004,35.45,27.83555754132407,25.92,32.17723707620941,840,13,399213.0,210.41398999999998,0.0155
2020-05-08,917.0,28.81928717250503,40.730000000000004,29.44271069605027,38.08,29.476546831868095,27.630000000000003,33.941181133951076,917,15,399213.0,229.70193999999998,0.0164
2020-05-09,970.0,28.91512134548708,42.769999999999996,29.490136358183264,39.97,29.522825786571353,26.979999999999997,34.73698928005167,970,17,399213.0,242.97806,0.0175
2020-05-10,1049.0000000000002,31.312823719571018,45.910000000000004,31.9115187556614,42.78,31.938951599777493,30.35,37.16049660702623,1049,20,399213.0,262.76698999999996,0.0191
2020-05-11,1054.0,30.856487620641925,47.35,31.594495221206312,44.64,31.63577924254164,30.700000000000003,36.804083902730035,1054,21,399213.0,264.01946,0.0199
2020-05-12,1171.0,33.044958661334306,50.96,33.68952497333991,47.92,33.720582630335635,34.56,38.722009036701394,1171,26,399213.0,293.32712000000004,0.0222
2020-05-13,1135.0,32.8615399529725,49.730000000000004,33.47671292228089,46.84,33.51275440904266,33.43000000000001,38.42411859625397,1135,25,399213.0,284.30938,0.022000000000000002
2020-05-14,1188.9999999999998,34.2098101589458,52.55,34.86458104023496,49.45,34.90224220750167,32.53999999999999,40.67768248714831,1189,31,399213.0,297.83599,0.0261
2020-05-15,1254.0,34.25297155877225,56.95,34.92651371960935,53.46,34.96841089620831,37.13000000000001,40.50238839447083,1254,33,399213.0,314.11803,0.0263
