,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-20,1.0,0.9657780659795875,0.0,0.9657780659795875,0.0,0.9657780659795875,0.0,0.9657780659795875,1,0,612547.0,0.16325,0.0
2020-03-21,1.0,0.9649409884086751,0.0,0.9649409884086751,0.0,0.9649409884086751,0.0,0.9649409884086751,1,0,612547.0,0.16325,0.0
2020-03-22,1.0,0.9691191460248425,0.0,0.9691191460248425,0.0,0.9691191460248425,0.0,0.9691191460248425,1,0,612547.0,0.16325,0.0
2020-03-23,4.999999999999999,2.122605602898133,0.0,2.122605602898133,0.0,2.122605602898133,0.0,2.122605602898133,5,0,612547.0,0.81626,0.0
2020-03-24,4.999999999999999,2.130869789688253,0.0,2.130869789688253,0.0,2.130869789688253,0.0,2.130869789688253,5,0,612547.0,0.81626,0.0
2020-03-25,5.999999999999999,2.3083511103133443,0.0,2.3083511103133443,0.0,2.3083511103133443,0.0,2.3083511103133443,6,0,612547.0,0.9795200000000001,0.0
2020-03-26,7.999999999999999,2.7569563073810373,0.0,2.7569563073810373,0.0,2.7569563073810373,0.0,2.7569563073810373,8,0,612547.0,1.3060200000000002,0.0
2020-03-27,8.0,2.7158717929901623,0.0,2.7158717929901623,0.0,2.7158717929901623,0.0,2.7158717929901623,8,0,612547.0,1.3060200000000002,0.0
2020-03-28,8.0,2.6751003002058855,0.0,2.6751003002058855,0.0,2.6751003002058855,0.0,2.6751003002058855,8,0,612547.0,1.3060200000000002,0.0
2020-03-29,7.999999999999999,2.764420409782167,0.0,2.764420409782167,0.0,2.764420409782167,0.0,2.764420409782167,8,0,612547.0,1.3060200000000002,0.0
2020-03-30,12.0,3.268552331451089,0.09,3.281666397340587,0.0,3.281666397340587,0.09,3.281666397340587,12,0,612547.0,1.9590299999999998,0.0
2020-03-31,18.000000000000004,4.007896246565314,0.33999999999999997,4.046335666159238,0.0,4.046335666159238,0.33999999999999997,4.046335666159238,18,0,612547.0,2.93855,0.0
2020-04-01,19.0,4.073218765437368,0.64,4.143176451843575,0.0,4.143176451843575,0.64,4.143176451843575,19,0,612547.0,3.1018,0.0
2020-04-02,24.999999999999996,4.824558387703857,0.61,4.882342023697607,0.0,4.882342023697607,0.61,4.882342023697607,25,0,612547.0,4.08132,0.0
2020-04-03,24.999999999999996,4.601514902066427,0.65,4.6649801064891365,0.0,4.6649801064891365,0.65,4.6649801064891365,25,0,612547.0,4.08132,0.0
2020-04-04,38.0,5.959967459744401,1.36,6.0657903129940225,0.83,6.077409984624381,1.36,6.142061806293,38,0,612547.0,6.20361,0.0
