,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-20,1.0,0.9601136296387953,0.0,0.9601136296387953,0.0,0.9601136296387953,0.0,0.9601136296387953,1,0,1101884.0,0.09075,0.0
2020-03-21,2.0,1.3356041269172483,0.0,1.3356041269172483,0.0,1.3356041269172483,0.0,1.3356041269172483,2,0,1101884.0,0.18151,0.0
2020-03-22,2.0,1.3728978421020575,0.0,1.3728978421020575,0.0,1.3728978421020575,0.0,1.3728978421020575,2,0,1101884.0,0.18151,0.0
2020-03-23,8.0,2.7390553558524964,0.0,2.7390553558524964,0.0,2.7390553558524964,0.0,2.7390553558524964,8,0,1101884.0,0.7260300000000001,0.0
2020-03-24,8.0,2.635844602338455,0.0,2.635844602338455,0.0,2.635844602338455,0.0,2.635844602338455,8,0,1101884.0,0.7260300000000001,0.0
2020-03-25,8.0,2.832638060861003,0.0,2.832638060861003,0.0,2.832638060861003,0.0,2.832638060861003,8,0,1101884.0,0.7260300000000001,0.0
2020-03-26,9.999999999999998,3.045546508486373,0.0,3.045546508486373,0.0,3.045546508486373,0.0,3.045546508486373,10,0,1101884.0,0.90754,0.0
2020-03-27,13.0,3.3591124368851317,0.18,3.384469879262684,0.0,3.384469879262684,0.18,3.384469879262684,13,0,1101884.0,1.1798,0.0
2020-03-28,15.0,3.7414954067575548,0.22,3.768950500973432,0.0,3.768950500973432,0.22,3.768950500973432,15,0,1101884.0,1.3613,0.0
2020-03-29,20.999999999999996,4.272935735297197,0.30000000000000004,4.306016697364258,0.0,4.306016697364258,0.30000000000000004,4.306016697364258,21,1,1101884.0,1.90583,0.0476
2020-03-30,30.0,5.331173805215334,0.5900000000000001,5.381831857408232,0.0,5.381831857408232,0.5900000000000001,5.381831857408232,30,1,1101884.0,2.72261,0.0333
2020-03-31,51.0,6.658282606853458,1.63,6.770186649770246,0.94,6.7743506901198485,1.63,6.770186649770246,51,1,1101884.0,4.62844,0.0196
2020-04-01,68.00000000000001,7.810210876755758,2.3200000000000003,7.939344679467818,1.89,7.945507783609173,2.3200000000000003,7.939344679467818,68,1,1101884.0,6.17125,0.0147
2020-04-02,78.0,8.66712120020194,3.18,8.822674758767315,2.8,8.832869856337174,3.18,8.822674758767315,78,1,1101884.0,7.07879,0.0128
2020-04-03,82.0,8.88439785537125,3.61,9.062352081690783,2.82,9.072696691310984,3.61,9.062352081690783,82,1,1101884.0,7.4418,0.0122
2020-04-04,86.0,8.69045685818878,3.42,8.854605604093296,2.76,8.86602731802922,3.42,8.954768494376546,86,2,1101884.0,7.804810000000001,0.0233
2020-04-05,121.0,10.334017572653881,5.4799999999999995,10.571287489796084,4.63,10.587975216816442,5.4799999999999995,10.660064149749179,121,2,1101884.0,10.98119,0.0165
2020-04-06,151.99999999999997,12.19151882716552,7.189999999999999,12.438216564810702,6.59,12.456770500941701,7.189999999999999,12.736233962814737,152,4,1101884.0,13.79456,0.0263
2020-04-07,203.00000000000003,13.68575164102425,9.169999999999998,13.96606236488288,8.42,13.986940265111523,9.169999999999998,14.212620263254582,203,11,1101884.0,18.42299,0.0542
2020-04-08,228.0,14.321108246715456,11.24,14.659916146217938,10.41,14.678386880517266,11.24,14.9310743015357,228,11,1101884.0,20.69183,0.0482
2020-04-09,247.0,15.360660760198405,11.620000000000001,15.693230992689143,10.28,15.711750347746081,11.620000000000001,15.986020534368539,247,14,1101884.0,22.41615,0.0567
2020-04-10,288.00000000000006,16.049072473907245,14.52,16.42210483685716,13.11,16.448204378372957,14.34,16.767234823797384,288,19,1101884.0,26.13705,0.066
2020-04-11,332.99999999999994,16.805410384213122,16.09,17.243860303940593,14.88,17.276467178848176,15.87,17.650940656537433,333,22,1101884.0,30.22097,0.0661
2020-04-12,368.99999999999994,18.589760405104528,19.13,19.02086990437588,17.78,19.05006802925365,18.83,19.502186331721166,369,25,1101884.0,33.4881,0.0678
2020-04-13,391.99999999999994,19.073849039240017,20.129999999999995,19.525409526350973,18.72,19.55206426881104,19.539999999999996,20.253536266862916,392,30,1101884.0,35.57543,0.0765
2020-04-14,533.0,21.709430990686837,26.289999999999996,22.23552324411085,24.33,22.263413797964454,24.659999999999997,23.24336294971365,533,32,1101884.0,48.3717,0.06
2020-04-15,582.0,22.935350510299664,28.83,23.473968625486044,26.22,23.513800267721574,26.509999999999998,24.780242068424133,582,34,1101884.0,52.818630000000006,0.0584
2020-04-16,664.0,24.378223433584694,34.18,24.975395447875854,31.74,25.011253022945052,31.0,26.487921165632606,664,35,1101884.0,60.26043000000001,0.0527
2020-04-17,862.0,29.555727196281435,44.760000000000005,30.222329660385384,41.32,30.26626521559953,41.150000000000006,31.551789732969752,862,38,1101884.0,78.22965,0.0441
2020-04-18,990.0000000000001,29.01029075512636,50.52,29.711620112288895,46.89,29.77042609196197,47.1,31.002974213791333,990,40,1101884.0,89.84612,0.0404
2020-04-19,1075.0,31.24135112638409,55.52,32.02033135684296,51.32,32.060243607964374,50.040000000000006,33.72022745169344,1075,43,1101884.0,97.56018,0.04
2020-04-20,1132.0,31.68962485155549,57.69,32.48114565763227,53.05,32.53878183387208,50.5,34.78123135464664,1132,47,1101884.0,102.73314,0.0415
2020-04-21,1300.0,34.07885982348422,67.52,34.92312825147093,62.34,34.98012702762365,58.349999999999994,37.61217601852471,1300,51,1101884.0,117.97975,0.0392
2020-04-22,1417.0,36.50830817302503,73.42000000000002,37.33584826485888,68.35,37.395361552692144,62.180000000000014,40.1108302964512,1417,61,1101884.0,128.59793,0.043
2020-04-23,1567.0000000000002,37.9783298125857,81.25,38.87035162374448,75.62,38.94251963283238,69.63,41.91875158378926,1567,71,1101884.0,142.21098,0.0453
2020-04-24,1668.0,39.556712898742425,86.91000000000001,40.56864596401432,80.82,40.64114461175443,72.39000000000001,43.76643191563899,1668,81,1101884.0,151.3771,0.0486
2020-04-25,1754.0,40.691902254513856,90.9,41.65584603739204,84.27,41.7292057088427,74.81,45.0839242665579,1754,87,1101884.0,159.18191000000002,0.0496
2020-04-26,1894.0,41.34873613301838,97.18999999999998,42.33893810427914,90.7,42.41621953684675,78.05999999999999,46.41529027935915,1894,98,1101884.0,171.88742,0.0517
2020-04-27,1977.0000000000002,43.002940937718776,103.24,44.00072419055088,96.13,44.08601625564426,83.11,48.138397838572146,1977,116,1101884.0,179.41998,0.0587
2020-04-28,2149.0000000000005,44.02293249953467,113.85000000000001,45.10436437705985,106.03,45.175798674274546,87.56000000000002,50.28739583432393,2149,136,1101884.0,195.0296,0.0633
2020-04-29,2432.0000000000005,47.34431584070302,126.67999999999999,48.41357911190044,117.42,48.523172221364945,97.85,53.80429207279421,2432,149,1101884.0,220.71289,0.0613
2020-04-30,2671.0,50.54707376957312,139.15000000000003,51.68430290394432,129.44,51.77232433131304,104.97000000000003,57.402417583621386,2671,165,1101884.0,242.40301000000002,0.0618
2020-05-01,2808.0,49.932036638097216,145.27999999999997,51.14475616158789,135.22,51.23531675346882,100.51999999999997,59.40686233870034,2808,178,1101884.0,254.83626,0.0634
2020-05-02,2899.0000000000005,51.71775382405988,151.37,53.02124065510031,141.08,53.104289474637184,100.85,60.77855156470111,2899,186,1101884.0,263.09484,0.0642
