,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-14,2.0,1.3767917618708925,0.0,1.3767917618708925,0.0,1.3767917618708925,0.0,1.3767917618708925,2,0,895982.0,0.22321999999999997,0.0
2020-03-15,2.0,1.3857864339082129,0.0,1.3857864339082129,0.0,1.3857864339082129,0.0,1.3857864339082129,2,0,895982.0,0.22321999999999997,0.0
2020-03-16,3.9999999999999996,1.9569611569208438,0.0,1.9569611569208438,0.0,1.9569611569208438,0.0,1.9569611569208438,4,0,895982.0,0.44643999999999995,0.0
2020-03-17,6.0,2.3229204885143178,0.0,2.3229204885143178,0.0,2.3229204885143178,0.0,2.3229204885143178,6,0,895982.0,0.66966,0.0
2020-03-18,6.999999999999999,2.584061480958558,0.0,2.584061480958558,0.0,2.584061480958558,0.0,2.584061480958558,7,0,895982.0,0.78127,0.0
2020-03-19,8.0,2.6902367437409183,0.0,2.6902367437409183,0.0,2.6902367437409183,0.0,2.6902367437409183,8,0,895982.0,0.8928799999999999,0.0
2020-03-20,11.0,3.1890912546214523,0.0,3.1890912546214523,0.0,3.1890912546214523,0.0,3.1890912546214523,11,0,895982.0,1.2277,0.0
2020-03-21,14.0,3.530158665275571,0.22,3.5586823688017173,0.0,3.5586823688017173,0.22,3.5586823688017173,14,0,895982.0,1.56253,0.0
2020-03-22,19.0,4.193838674565681,0.35,4.2326330845329405,0.0,4.2326330845329405,0.35,4.2326330845329405,19,0,895982.0,2.12058,0.0
2020-03-23,18.999999999999996,4.126705340789063,0.5599999999999999,4.1877556005212355,0.0,4.1877556005212355,0.5599999999999999,4.1877556005212355,19,0,895982.0,2.12058,0.0
2020-03-24,22.000000000000004,4.68474851906361,0.67,4.74895448355411,0.0,4.74895448355411,0.67,4.74895448355411,22,0,895982.0,2.4554099999999996,0.0
2020-03-25,22.0,4.634477730918969,0.7100000000000001,4.702051024646993,0.0,4.702051024646993,0.7100000000000001,4.702051024646993,22,0,895982.0,2.4554099999999996,0.0
2020-03-26,23.0,4.657762067210762,0.56,4.7127643135157395,0.0,4.7127643135157395,0.56,4.7127643135157395,23,0,895982.0,2.56702,0.0
2020-03-27,24.0,4.573374856247581,0.49,4.625284594028521,0.0,4.625284594028521,0.49,4.625284594028521,24,0,895982.0,2.67863,0.0
2020-03-28,25.000000000000004,4.7714639982785885,0.73,4.839500871667314,0.0,4.839500871667314,0.73,4.839500871667314,25,0,895982.0,2.7902299999999998,0.0
2020-03-29,29.0,5.140903509003928,0.8500000000000001,5.2147280742996465,0.0,5.2147280742996465,0.8500000000000001,5.39571987127695,29,0,895982.0,3.23667,0.0
2020-03-30,35.99999999999999,5.833670985898775,1.2,5.928163052052227,0.81,5.9411292842116445,1.2,6.242821008279361,36,0,895982.0,4.01794,0.0
2020-03-31,37.0,5.7947032588896095,1.37,5.897328705319541,0.81,5.910362582666639,1.37,6.338331440887693,37,0,895982.0,4.12955,0.0
2020-04-01,38.00000000000001,5.872466141737949,1.37,5.978240425564916,0.81,5.991098278768142,1.37,6.512812934764235,38,0,895982.0,4.24116,0.0
2020-04-02,37.99999999999999,5.810422540660025,1.5899999999999999,5.936439176898059,0.8,5.9499000076480355,1.5899999999999999,6.517567325189962,38,0,895982.0,4.24116,0.0
2020-04-03,43.0,6.306530205455551,1.9300000000000002,6.435512662742824,0.79,6.44838919671597,1.9300000000000002,7.182348241531196,43,0,895982.0,4.7992,0.0
2020-04-04,42.99999999999999,6.462854233888063,1.76,6.575993069376279,0.75,6.590234051115701,1.54,7.477158888943384,43,0,895982.0,4.7992,0.0
2020-04-05,43.0,6.0648848532208985,2.05,6.210324329922575,1.57,6.239649692316731,1.6999999999999997,7.515537978821684,43,0,895982.0,4.7992,0.0
2020-04-06,44.0,6.426287553259013,1.6600000000000001,6.543467866290146,0.84,6.553729603605242,1.1,7.76880098128847,44,0,895982.0,4.91081,0.0
2020-04-07,47.99999999999999,6.546307464070215,1.7999999999999998,6.669763220245635,0.79,6.682188370148018,1.13,8.18769259932309,48,0,895982.0,5.35725,0.0
2020-04-08,48.00000000000001,6.851778505385933,1.82,6.969897322548495,0.83,6.980012083576122,1.1099999999999999,8.407660347876364,48,0,895982.0,5.35725,0.0
2020-04-09,48.0,6.838881709044473,1.9000000000000001,6.958685438378649,0.74,6.972496183599031,1.34,8.404370916674878,48,0,895982.0,5.35725,0.0
2020-04-10,49.0,6.64534469087993,1.82,6.757056020235889,0.81,6.7684345354451105,1.33,8.188471385818213,49,0,895982.0,5.46886,0.0
2020-04-11,51.0,7.037346262920592,2.11,7.174074325252174,1.6,7.196342294821894,1.38,8.65379171872718,51,0,895982.0,5.692080000000001,0.0
2020-04-12,51.0,6.978784589270136,2.0700000000000003,7.125484849709131,1.71,7.144118864033153,1.2200000000000002,8.829831438500015,51,0,895982.0,5.692080000000001,0.0
2020-04-13,55.00000000000001,7.399139999166979,2.22,7.539779355344075,1.56,7.568003219295875,1.0200000000000002,9.591214203581833,55,2,895982.0,6.13852,0.0364
2020-04-14,55.00000000000001,7.075509047611223,2.26,7.22786471115974,1.53,7.254731441123667,0.8899999999999997,9.328478661679735,55,2,895982.0,6.13852,0.0364
2020-04-15,60.99999999999999,7.510262339228931,2.38,7.646021213941301,1.61,7.668085837028717,1.0099999999999998,9.70571991095452,61,2,895982.0,6.80817,0.0328
