,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-16,1.0,0.9657780659795874,0.0,0.9657780659795874,0.0,0.9657780659795874,0.0,0.9657780659795874,1,0,2512070.0,0.039810000000000005,0.0
2020-03-17,4.999999999999999,2.1332386342617817,0.0,2.1332386342617817,0.0,2.1332386342617817,0.0,2.1332386342617817,5,0,2512070.0,0.19904000000000002,0.0
2020-03-18,10.000000000000002,2.967909171198615,0.0,2.967909171198615,0.0,2.967909171198615,0.0,2.967909171198615,10,0,2512070.0,0.39808000000000004,0.0
2020-03-19,18.0,4.040002000199525,0.65,4.1118993374858,0.0,4.1118993374858,0.65,4.1118993374858,18,0,2512070.0,0.71654,0.0
2020-03-20,20.0,4.309046157547955,0.76,4.387559548072116,0.0,4.387559548072116,0.76,4.387559548072116,20,0,2512070.0,0.7961600000000001,0.0
2020-03-21,29.999999999999996,5.131660490907343,1.37,5.250565626095859,0.81,5.265200793316376,1.37,5.250565626095859,30,0,2512070.0,1.19423,0.0
2020-03-22,30.0,5.292399734477257,0.88,5.364372745204695,0.0,5.364372745204695,0.88,5.364372745204695,30,0,2512070.0,1.19423,0.0
2020-03-23,60.0,7.564149895154354,2.92,7.724387589729274,1.5,7.745719052248385,2.92,7.724387589729274,60,0,2512070.0,2.38847,0.0
2020-03-24,87.0,9.080137052318587,4.9,9.31188965188532,3.08,9.34049725062263,4.9,9.31188965188532,87,0,2512070.0,3.46328,0.0
2020-03-25,89.99999999999999,8.997059003200475,5.41,9.261693727773052,3.93,9.314723329604089,5.41,9.261693727773052,90,0,2512070.0,3.5827,0.0
2020-03-26,95.99999999999999,9.46491661160554,5.24,9.696929744235877,3.76,9.743348832133973,5.24,9.696929744235877,96,0,2512070.0,3.82155,0.0
2020-03-27,118.00000000000001,10.793179664618174,7.11,11.063554007312808,5.5,11.117204112218472,7.11,11.063554007312808,118,0,2512070.0,4.6973199999999995,0.0
2020-03-28,129.0,10.812002309442684,7.239999999999999,11.09990963654182,5.23,11.161769301476983,7.239999999999999,11.09990963654182,129,0,2512070.0,5.13521,0.0
2020-03-29,142.99999999999997,11.607999679775002,8.68,11.938947045935691,6.22,12.003751770411473,8.68,11.938947045935691,143,0,2512070.0,5.69252,0.0
2020-03-30,162.99999999999997,12.236111483736336,9.87,12.547913142926367,6.61,12.61459568287562,9.87,12.547913142926367,163,1,2512070.0,6.48867,0.0061
2020-03-31,163.00000000000003,12.541059836320928,10.24,12.906075384026776,7.54,12.995198413959747,10.24,13.081188359200741,163,2,2512070.0,6.48867,0.0123
2020-04-01,188.0,13.296107123758619,11.51,13.6643098854814,8.35,13.731746598538173,11.51,13.982912768624052,188,2,2512070.0,7.48387,0.0106
2020-04-02,210.0,14.005114505895065,13.03,14.381965523642183,9.96,14.454042075600595,12.379999999999999,14.958230125414188,210,3,2512070.0,8.359639999999999,0.0143
2020-04-03,225.0,14.715538410369861,14.090000000000002,15.13597604078015,10.57,15.258534356453465,13.330000000000002,15.75907514719533,225,3,2512070.0,8.956760000000001,0.0133
2020-04-04,237.00000000000003,14.866748199260053,14.950000000000001,15.322477019731567,10.59,15.403252968779093,13.580000000000002,16.197121392832162,237,3,2512070.0,9.43445,0.0127
2020-04-05,262.00000000000006,16.202069951307788,16.79,16.654391934473946,11.92,16.727294183670917,15.909999999999998,17.49700733430051,262,3,2512070.0,10.42965,0.0115
2020-04-06,264.0,15.497657040255271,16.540000000000003,15.917429872230434,12.23,16.015669631250944,13.620000000000003,17.69267468117066,264,4,2512070.0,10.509260000000001,0.0152
2020-04-07,274.99999999999994,15.645065701622375,17.13,16.088678653266737,13.1,16.172061736466404,12.229999999999999,18.589160005147345,275,5,2512070.0,10.94715,0.0182
2020-04-08,299.00000000000006,16.524900097499025,18.529999999999998,17.021334355223836,13.4,17.12266986285501,13.119999999999997,19.37794607122731,299,6,2512070.0,11.90253,0.0201
2020-04-09,310.00000000000006,16.9078548478379,20.65,17.42485740416706,15.48,17.50757708980759,15.409999999999998,19.94131645654825,310,6,2512070.0,12.34042,0.0194
2020-04-10,330.0,17.97805620890382,21.49,18.487714976451393,16.25,18.609758328643203,14.379999999999999,21.545250806691307,330,6,2512070.0,13.136579999999999,0.0182
2020-04-11,337.99999999999994,16.935981658807815,22.72,17.486688501470905,16.71,17.614487637949473,15.48,20.712128540709397,338,6,2512070.0,13.455039999999999,0.0178
2020-04-12,355.0,17.800425599270135,22.139999999999997,18.33675411612294,16.66,18.44345280892793,13.459999999999997,21.88092795291845,355,6,2512070.0,14.131770000000001,0.0169
2020-04-13,357.0,18.35549074266445,23.31,18.908002020415598,17.18,19.02577568468735,13.44,22.692788824788913,357,6,2512070.0,14.21139,0.0168
2020-04-14,373.0,18.336754501725917,23.82,18.895776397294863,17.52,19.03785612028218,13.58,22.882682261368476,373,6,2512070.0,14.848310000000001,0.0161
2020-04-15,380.0,19.03370747390062,24.17,19.5475962768321,18.04,19.655709608203416,12.660000000000002,23.849987103738332,380,6,2512070.0,15.126970000000002,0.0158
2020-04-16,390.0,19.099219932243358,25.36,19.673195013017132,19.1,19.79506509259826,12.33,24.369561636259167,390,7,2512070.0,15.52505,0.0179
2020-04-17,405.99999999999994,19.186932632351215,26.5,19.744279775124337,20.14,19.847341984215014,12.409999999999998,24.87839131747579,406,8,2512070.0,16.16197,0.0197
2020-04-18,420.00000000000006,19.84571296860668,27.060000000000002,20.409001034649474,20.81,20.51587734493271,12.110000000000001,25.52069014060014,420,8,2512070.0,16.719279999999998,0.019
2020-04-19,448.00000000000006,20.038221054532336,30.400000000000002,20.62389640757301,22.99,20.75945574985777,13.610000000000003,26.50875088979814,448,8,2512070.0,17.8339,0.0179
2020-04-20,459.99999999999994,20.998807084925065,29.63,21.60208320949392,22.0,21.724870517218257,13.089999999999996,26.833087275363468,460,8,2512070.0,18.31159,0.0174
2020-04-21,467.0,20.78142138419494,29.66,21.371655872848848,21.92,21.480718673905553,12.530000000000001,26.750574864020315,467,8,2512070.0,18.59025,0.0171
2020-04-22,486.99999999999994,21.127243171800814,32.04,21.759191254281582,24.4,21.906674874120082,13.510000000000002,27.62586156616165,487,9,2512070.0,19.3864,0.0185
2020-04-23,491.0,20.78180536775942,32.550000000000004,21.430780068477077,24.51,21.566368130573917,11.900000000000006,27.62071667967705,491,9,2512070.0,19.54563,0.0183
2020-04-24,519.0,23.03294083777327,34.160000000000004,23.66055712861309,26.01,23.78049334299782,12.670000000000005,30.026947375430435,519,11,2512070.0,20.66025,0.0212
2020-04-25,528.0,21.820289881324918,33.42,22.46172412138148,25.2,22.628942761539932,10.700000000000003,28.466002972889,528,11,2512070.0,21.018520000000002,0.0208
2020-04-26,544.0000000000001,23.05060747682163,36.53,23.72069992750014,27.46,23.85372098961722,14.390000000000004,29.981797086993577,544,11,2512070.0,21.65545,0.0202
2020-04-27,558.9999999999999,22.730182843989883,37.38,23.475314952545624,28.39,23.580676668009595,14.070000000000004,30.143041527444645,559,11,2512070.0,22.25256,0.0197
2020-04-28,569.0000000000001,23.08209765864516,38.6,23.767120825275253,28.82,23.90405054218286,14.780000000000001,30.3632409004671,569,14,2512070.0,22.65064,0.0246
2020-04-29,577.0,23.337822079061695,38.03000000000001,24.00331725811954,28.75,24.157953957111918,13.860000000000007,30.955900238822963,577,16,2512070.0,22.96911,0.0277
2020-04-30,593.0,24.152955357994035,38.74,24.802009042116982,29.34,24.91192590959704,13.380000000000003,31.657135918232633,593,17,2512070.0,23.60603,0.0287
2020-05-01,610.0,23.784860646209303,39.32000000000001,24.52690759063596,29.72,24.65990259428443,12.820000000000007,31.48659682782469,610,20,2512070.0,24.28276,0.0328
2020-05-02,626.0,23.92369182009813,40.88,24.607312537191667,29.86,24.764091550126167,13.82,31.969472212336466,626,20,2512070.0,24.91969,0.0319
2020-05-03,646.0,24.682222776972928,42.33,25.47179265799958,32.07,25.637030272871336,11.929999999999996,32.77433941733112,646,20,2512070.0,25.71584,0.031
2020-05-04,845.0,28.202725708231416,54.24,29.039072598375746,40.64,29.166044253099134,24.610000000000003,36.19278569499226,845,20,2512070.0,33.6376,0.0237
2020-05-05,851.0,28.066515511001594,56.34,28.87383405315777,42.62,29.021955360197445,26.680000000000003,35.92277783909212,851,22,2512070.0,33.87644,0.0259
2020-05-06,856.9999999999999,28.52120600394015,57.73,29.325117082787443,42.85,29.53049257833658,25.689999999999998,36.516090918382766,857,23,2512070.0,34.11529,0.0268
2020-05-07,914.9999999999999,28.708060318884787,62.080000000000005,29.554213359058082,46.88,29.78283276105091,29.53,36.50657285498273,915,25,2512070.0,36.42414,0.0273
2020-05-08,925.9999999999999,29.74707183620403,62.39000000000001,30.557057823492805,47.44,30.725236904347586,28.230000000000004,38.646548959313904,926,25,2512070.0,36.86203,0.027000000000000003
2020-05-09,959.9999999999999,30.48504186937879,64.62999999999998,31.38870302796498,48.87,31.571249227386897,31.20999999999998,38.59766480349334,960,26,2512070.0,38.2155,0.0271
2020-05-10,972.9999999999999,30.924025506640522,65.5,31.833557035545898,48.87,32.06787260694656,28.97,39.69945791299749,973,26,2512070.0,38.733000000000004,0.0267
2020-05-11,979.0,30.22113782962468,64.65,31.123869806262398,48.84,31.31117486963995,27.270000000000003,38.98442873556549,979,26,2512070.0,38.97184,0.0266
2020-05-12,992.0000000000001,31.122702746751067,65.86999999999999,31.993069972458507,49.9,32.17307144589441,27.26999999999999,39.85514469407756,992,26,2512070.0,39.48935,0.0262
2020-05-13,1048.0000000000002,32.15008365133564,69.75999999999999,33.02058871049817,52.01,33.22302181903204,31.729999999999983,40.82301456509328,1048,28,2512070.0,41.718579999999996,0.0267
2020-05-14,1068.0000000000002,31.041113173832976,71.61,31.967342821553174,53.98,32.13301428547759,32.87,40.46048269108958,1068,28,2512070.0,42.51474,0.0262
2020-05-15,1088.0,31.291884254579816,72.95,32.19021777189493,54.93,32.35730551516953,33.629999999999995,40.46948623545419,1088,29,2512070.0,43.31089,0.0267
2020-05-16,1149.9999999999998,33.54435628215033,78.08999999999999,34.53501901525231,59.09,34.75211415703854,37.20999999999999,42.405039425602105,1150,29,2512070.0,45.77898,0.0252
2020-05-17,1159.9999999999998,32.9433704493887,76.72,33.89554626445275,58.46,34.14815451185696,34.39,42.399531574980614,1160,31,2512070.0,46.17706,0.0267
2020-05-18,1188.9999999999998,33.20621214852012,80.04,34.282767176126924,60.85,34.43712568221287,25.800000000000004,44.928563994704554,1189,31,2512070.0,47.33148,0.0261
2020-05-19,1249.0,35.19096532356054,84.21,36.22830578986603,64.06,36.396243493031534,27.86999999999999,46.32697306465569,1249,33,2512070.0,49.71995,0.0264
2020-05-20,1287.0,34.582362527447394,87.19000000000001,35.57650766980646,66.11,35.79170012698192,29.460000000000015,46.10477621569147,1287,35,2512070.0,51.23265,0.0272
2020-05-21,1315.9999999999998,33.901270796478435,87.59,34.94151773486896,66.64,35.14000656824301,25.509999999999998,45.76419112022946,1316,36,2512070.0,52.38708,0.0274
2020-05-22,1351.0,35.2748200462161,90.16000000000001,36.38774421825196,68.46,36.59339188013225,27.770000000000003,47.51633100441586,1351,39,2512070.0,53.78035,0.0289
2020-05-23,1392.9999999999998,36.23835793546096,94.71000000000001,37.377542533700456,72.11,37.61354258586376,30.080000000000027,48.80913196970793,1393,42,2512070.0,55.45228,0.0302
2020-05-24,1434.0000000000002,35.686417640895314,95.73999999999998,36.74922589715876,71.31,36.989451253572334,30.23999999999998,48.619758921407225,1434,42,2512070.0,57.0844,0.0293
2020-05-25,1444.0,36.24245515352893,97.38,37.36578857130618,73.25,37.61555071450577,32.72999999999999,48.63021105519415,1444,42,2512070.0,57.48246999999999,0.0291
2020-05-26,1534.0000000000002,37.694162664660674,104.54999999999998,38.782614648704374,79.42,38.98890610147839,38.67999999999999,50.275717053588856,1534,43,2512070.0,61.065180000000005,0.027999999999999997
2020-05-27,1613.0,39.50725032551403,108.24,40.7026390825316,82.16,40.904269071611935,38.480000000000004,52.41244229255786,1613,43,2512070.0,64.20999,0.0267
2020-05-28,1674.0,39.51977385123206,113.31,40.685776694718825,85.65,40.899143331523774,41.7,51.7420856974594,1674,46,2512070.0,66.63826999999999,0.0275
2020-05-29,1766.0000000000002,39.72802994909719,120.99000000000001,40.98760134036101,90.93,41.300951122660166,48.040000000000006,52.117114116558525,1766,48,2512070.0,70.30059,0.0272
2020-05-30,1778.0,40.54361163542839,118.54999999999998,41.77054637474167,89.98,42.07942661734407,40.459999999999994,54.19821106667897,1778,49,2512070.0,70.77828000000001,0.0276
2020-05-31,1852.0,40.60990823019238,123.23,41.92274736303248,92.91,42.218700198663704,46.510000000000005,53.91126786702668,1852,49,2512070.0,73.72406,0.0265
2020-06-01,1882.0,39.787592604385175,128.23000000000002,41.09688340072183,97.0,41.41489859039287,48.19000000000001,53.518799972580204,1882,49,2512070.0,74.91829,0.026000000000000002
2020-06-02,1911.9999999999998,43.044989384492965,128.14000000000001,44.35868473152818,97.27,44.598991144543966,43.93000000000002,57.27288233985742,1912,51,2512070.0,76.11253,0.0267
2020-06-03,2029.0,44.5172534932902,138.13,45.91581164028202,105.32,46.25256056247976,50.93999999999998,58.0857095727138,2029,51,2512070.0,80.77004000000001,0.0251
2020-06-04,2144.0000000000005,45.653433163300654,145.20000000000002,46.95286955656661,110.45,47.174775670859944,57.610000000000014,58.527614176661274,2144,55,2512070.0,85.34794000000001,0.0257
2020-06-05,2305.0000000000005,46.788533517164964,155.41,48.285848534398454,118.34,48.57949741080973,65.24999999999999,60.461484417600914,2305,58,2512070.0,91.757,0.0252
2020-06-06,2408.0,48.81160650186521,161.47,50.21101501954456,122.7,50.51094959801221,66.75999999999999,62.59574039143172,2408,60,2512070.0,95.8572,0.0249
2020-06-07,2497.0000000000005,46.80479773387651,169.2,48.24824650605544,128.96,48.63673191024548,73.46000000000001,60.64980539910656,2497,59,2512070.0,99.4001,0.0236
2020-06-08,2514.0000000000005,48.37855773464985,172.14,49.86353626132876,130.02,50.16464739719445,74.75999999999999,62.31030736595996,2514,59,2512070.0,100.07683,0.0235
2020-06-09,2549.0,49.768502472787326,171.65,51.28149118720943,129.47,51.58740581172733,67.10000000000002,64.29527616686732,2549,62,2512070.0,101.4701,0.0243
2020-06-10,2832.0,50.09930340853256,192.78000000000003,51.71551800011485,145.87,52.050628257689674,84.54000000000003,65.81185022701483,2832,62,2512070.0,112.73571000000001,0.0219
2020-06-11,2919.0,52.27109404563169,199.46,53.869221942842955,151.65,54.22656703800521,86.15,67.50722552423406,2919,66,2512070.0,116.19899,0.0226
2020-06-12,3094.0,53.8830833069774,209.58,55.46924252832975,158.91,55.83796886229536,88.59,68.9697058881871,3094,66,2512070.0,123.16536,0.0213
2020-06-13,3224.0,54.965748747320234,220.98000000000002,56.65432494835267,167.95,57.036129210821585,102.43000000000004,70.38814587555194,3224,67,2512070.0,128.34037,0.0208
2020-06-14,3425.0,55.9964050072625,229.4,57.73815180396212,174.47,58.09322915570604,106.17,71.35272188362558,3425,67,2512070.0,136.34174,0.0196
2020-06-15,3487.0,56.05874444083482,235.72,57.8245763346592,178.61,58.31706035357774,107.48999999999998,70.94107028749534,3487,67,2512070.0,138.80983,0.0192
2020-06-16,3488.0,58.93924452734821,237.25,60.749411893898575,180.37,61.027241011326616,109.10999999999999,75.22090106191003,3488,76,2512070.0,138.84963,0.0218
2020-06-17,3631.0,58.82359005938644,245.14,60.42870631971818,187.08,60.74160145628981,107.00999999999999,75.89394116832125,3631,83,2512070.0,144.54215,0.0229
2020-06-18,3810.0,59.936690504955884,259.27,61.75391784078862,197.99,62.17327616176319,114.06999999999996,77.57653207177303,3810,87,2512070.0,151.66775,0.0228
2020-06-19,3879.0,60.695609146765875,264.36999999999995,62.56690075189093,199.88,62.93395482326666,108.95999999999995,79.03252645831233,3879,90,2512070.0,154.41449,0.0232
