,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-31,1.0,0.9661963328099284,0.0,0.9661963328099284,0.0,0.9661963328099284,0.0,0.9661963328099284,1,0,376818.0,0.26538,0.0
2020-04-01,2.0,1.4130703014244113,0.0,1.4130703014244113,0.0,1.4130703014244113,0.0,1.4130703014244113,2,0,376818.0,0.53076,0.0
2020-04-03,2.0,1.3597385369580766,0.0,1.3597385369580766,0.0,1.3597385369580766,0.0,1.3597385369580766,2,0,376818.0,0.53076,0.0
2020-04-04,2.0,1.333787801334942,0.0,1.333787801334942,0.0,1.333787801334942,0.0,1.333787801334942,2,0,376818.0,0.53076,0.0
2020-04-05,2.9999999999999996,1.683010770175061,0.0,1.683010770175061,0.0,1.683010770175061,0.0,1.683010770175061,3,1,376818.0,0.79614,0.3333
2020-04-06,6.0,2.339083823062596,0.0,2.339083823062596,0.0,2.339083823062596,0.0,2.339083823062596,6,1,376818.0,1.59228,0.1667
2020-04-07,7.0,2.5003030119397835,0.0,2.5003030119397835,0.0,2.5003030119397835,0.0,2.5003030119397835,7,2,376818.0,1.8576599999999999,0.2857
2020-04-08,8.0,2.7581284827347563,0.0,2.7581284827347563,0.0,2.7581284827347563,0.0,2.7581284827347563,8,1,376818.0,2.12304,0.125
2020-04-09,10.0,3.073608743329363,0.0,3.073608743329363,0.0,3.073608743329363,0.0,3.073608743329363,10,1,376818.0,2.6538,0.1
2020-04-10,10.999999999999998,3.24638104648698,0.0,3.24638104648698,0.0,3.24638104648698,0.0,3.24638104648698,11,1,376818.0,2.91918,0.0909
2020-04-11,10.0,2.990726407487727,0.0,2.990726407487727,0.0,2.990726407487727,0.0,2.990726407487727,10,1,376818.0,2.6538,0.1
2020-04-12,10.000000000000002,3.118663272310848,0.0,3.118663272310848,0.0,3.118663272310848,0.0,3.118663272310848,10,1,376818.0,2.6538,0.1
2020-04-13,10.000000000000002,3.055909988626278,0.0,3.055909988626278,0.0,3.055909988626278,0.0,3.055909988626278,10,1,376818.0,2.6538,0.1
2020-04-14,12.999999999999998,3.383083286774437,0.06,3.39140863436604,0.0,3.39140863436604,0.06,3.39140863436604,13,1,376818.0,3.4499400000000002,0.0769
2020-04-15,21.0,4.48550977925564,0.6000000000000001,4.545899028772854,0.0,4.545899028772854,0.6000000000000001,4.545899028772854,21,2,376818.0,5.57298,0.0952
2020-04-16,23.0,4.520570268843915,0.68,4.588306392946699,0.0,4.588306392946699,0.68,4.800971071806539,23,3,376818.0,6.10374,0.1304
