,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-06,1.0,0.9665099141454337,0.0,0.9665099141454337,0.0,0.9665099141454337,0.0,0.9665099141454337,1,0,6718903.0,0.01488,0.0
2020-03-07,1.0,0.9619004757523125,0.0,0.9619004757523125,0.0,0.9619004757523125,0.0,0.9619004757523125,1,0,6718903.0,0.01488,0.0
2020-03-08,2.0,1.3661122304783848,0.0,1.3661122304783848,0.0,1.3661122304783848,0.0,1.3661122304783848,2,0,6718903.0,0.029769999999999998,0.0
2020-03-09,2.0,1.3447240714298339,0.0,1.3447240714298339,0.0,1.3447240714298339,0.0,1.3447240714298339,2,0,6718903.0,0.029769999999999998,0.0
2020-03-10,2.0,1.3675163655697185,0.0,1.3675163655697185,0.0,1.3675163655697185,0.0,1.3675163655697185,2,0,6718903.0,0.029769999999999998,0.0
2020-03-11,2.0,1.3631514289255684,0.0,1.3631514289255684,0.0,1.3631514289255684,0.0,1.3631514289255684,2,0,6718903.0,0.029769999999999998,0.0
2020-03-12,13.0,3.445565148407325,0.08,3.4566630139368795,0.0,3.4566630139368795,0.08,3.4566630139368795,13,0,6718903.0,0.19347999999999999,0.0
2020-03-13,13.0,3.417187691241398,0.14,3.436593039213651,0.0,3.436593039213651,0.14,3.436593039213651,13,0,6718903.0,0.19347999999999999,0.0
2020-03-14,13.000000000000002,3.5331618025831095,0.12,3.5493143455084852,0.0,3.5493143455084852,0.12,3.5493143455084852,13,0,6718903.0,0.19347999999999999,0.0
2020-03-15,22.0,4.46277532891402,0.81,4.543089657530834,0.0,4.543089657530834,0.81,4.543089657530834,22,0,6718903.0,0.32743,0.0
