,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-22,6.0,2.368522533120382,0.0,2.368522533120382,0.0,2.368522533120382,0.0,2.368522533120382,6,0,357199.0,1.6797400000000002,0.0
2020-03-23,6.999999999999999,2.562393136475858,0.0,2.562393136475858,0.0,2.562393136475858,0.0,2.562393136475858,7,0,357199.0,1.9596900000000002,0.0
2020-03-24,7.000000000000001,2.6297828001106063,0.0,2.6297828001106063,0.0,2.6297828001106063,0.0,2.6297828001106063,7,0,357199.0,1.9596900000000002,0.0
2020-03-25,9.0,2.9467324824680508,0.0,2.9467324824680508,0.0,2.9467324824680508,0.0,2.9467324824680508,9,0,357199.0,2.5196,0.0
2020-03-26,12.0,3.3136692714276785,0.09,3.326545361242507,0.0,3.326545361242507,0.09,3.326545361242507,12,0,357199.0,3.3594699999999995,0.0
2020-03-27,12.0,3.387201103142728,0.12,3.4040463147747144,0.0,3.4040463147747144,0.12,3.4040463147747144,12,0,357199.0,3.3594699999999995,0.0
2020-03-28,12.0,3.283721712147405,0.12000000000000001,3.3008223646279857,0.0,3.3008223646279857,0.12000000000000001,3.3008223646279857,12,0,357199.0,3.3594699999999995,0.0
2020-03-29,12.000000000000002,3.4269873685560075,0.060000000000000005,3.4355265133953528,0.0,3.4355265133953528,0.060000000000000005,3.4355265133953528,12,0,357199.0,3.3594699999999995,0.0
2020-03-30,14.000000000000002,3.6308164760599353,0.30000000000000004,3.6684367628225902,0.0,3.6684367628225902,0.30000000000000004,3.6684367628225902,14,0,357199.0,3.9193800000000003,0.0
2020-03-31,19.000000000000004,4.2682762115615045,0.63,4.333437644432169,0.0,4.333437644432169,0.63,4.333437644432169,19,0,357199.0,5.31916,0.0
2020-04-01,22.000000000000004,4.494441010848846,0.61,4.5561277418439445,0.0,4.5561277418439445,0.61,4.5561277418439445,22,0,357199.0,6.1590300000000004,0.0
