,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-13,2.0,1.3823563545298632,0.0,1.3823563545298632,0.0,1.3823563545298632,0.0,1.3823563545298632,2,0,2182763.0,0.09162999999999999,0.0
2020-03-14,2.0,1.344047858695756,0.0,1.344047858695756,0.0,1.344047858695756,0.0,1.344047858695756,2,0,2182763.0,0.09162999999999999,0.0
2020-03-15,2.0,1.3756174004145316,0.0,1.3756174004145316,0.0,1.3756174004145316,0.0,1.3756174004145316,2,0,2182763.0,0.09162999999999999,0.0
2020-03-16,2.0,1.370172885943135,0.0,1.370172885943135,0.0,1.370172885943135,0.0,1.370172885943135,2,0,2182763.0,0.09162999999999999,0.0
2020-03-17,2.0,1.3673686297765393,0.0,1.3673686297765393,0.0,1.3673686297765393,0.0,1.3673686297765393,2,0,2182763.0,0.09162999999999999,0.0
2020-03-18,2.0,1.3206977035803558,0.0,1.3206977035803558,0.0,1.3206977035803558,0.0,1.3206977035803558,2,0,2182763.0,0.09162999999999999,0.0
2020-03-19,3.0,1.6699361870104104,0.0,1.6699361870104104,0.0,1.6699361870104104,0.0,1.6699361870104104,3,0,2182763.0,0.13744,0.0
2020-03-20,6.999999999999999,2.457928831641417,0.0,2.457928831641417,0.0,2.457928831641417,0.0,2.457928831641417,7,0,2182763.0,0.32069000000000003,0.0
2020-03-21,11.0,3.1368774282716236,0.03,3.1415123746374127,0.0,3.1415123746374127,0.03,3.1415123746374127,11,0,2182763.0,0.50395,0.0
2020-03-22,24.999999999999996,4.67736868097628,0.5,4.725651042742976,0.0,4.725651042742976,0.5,4.725651042742976,25,0,2182763.0,1.14534,0.0
2020-03-23,31.0,5.107471255549328,0.71,5.170083425464489,0.0,5.170083425464489,0.71,5.170083425464489,31,0,2182763.0,1.42022,0.0
2020-03-24,45.0,6.471663174364395,1.35,6.561929917518492,0.89,6.569385377828298,1.35,6.561929917518492,45,0,2182763.0,2.06161,0.0
2020-03-25,52.0,7.051771036234426,1.72,7.1577702357280755,0.84,7.167152485295311,1.72,7.1577702357280755,52,0,2182763.0,2.3823,0.0
2020-03-26,63.0,7.453587028804292,1.9000000000000001,7.5665289000941245,0.87,7.57399891708202,1.9000000000000001,7.5665289000941245,63,0,2182763.0,2.88625,0.0
2020-03-27,74.99999999999999,8.167340726665843,2.28,8.291794410467167,1.78,8.304544210578602,2.28,8.291794410467167,75,0,2182763.0,3.43601,0.0
2020-03-28,105.0,9.9780061164847,4.02,10.157578749909158,3.42,10.183319992055935,4.02,10.246114907957589,105,0,2182763.0,4.81042,0.0
2020-03-29,131.0,11.383605081276523,4.8100000000000005,11.561840884844623,3.55,11.575995190326605,4.8100000000000005,11.643388161475505,131,0,2182763.0,6.00157,0.0
2020-03-30,140.0,11.3136727864647,5.2,11.504477038057484,4.41,11.527137195296666,5.2,11.585782910816414,140,1,2182763.0,6.41389,0.0071
2020-03-31,159.0,12.119972663902232,6.56,12.349183672362209,5.23,12.382222634637829,6.56,12.42465429472524,159,2,2182763.0,7.28435,0.0126
2020-04-01,179.0,12.774137382171286,6.85,13.014833301221566,5.36,13.038262378805921,6.85,13.081671463648224,179,2,2182763.0,8.200619999999999,0.0112
2020-04-02,204.99999999999997,13.66541753345416,8.26,13.944928696972115,6.84,13.982683446450341,8.26,14.044562051994475,205,2,2182763.0,9.39177,0.0098
2020-04-03,232.0,14.03113421191342,9.92,14.339216410694387,7.77,14.379507198535256,9.92,14.54835184528273,232,5,2182763.0,10.628730000000001,0.0216
2020-04-04,283.0,16.528915587692087,11.9,16.858577950261715,9.63,16.88622961187756,11.870000000000001,17.14878277036159,283,9,2182763.0,12.96522,0.0318
2020-04-05,379.0,18.56370957355542,16.610000000000003,18.96996080995723,14.21,19.005928368046458,16.110000000000003,19.549710762798792,379,11,2182763.0,17.363310000000002,0.028999999999999998
2020-04-06,473.0000000000001,20.496513623225553,21.1,20.956313385399415,18.38,21.011489016894323,20.39,21.584643460880546,473,15,2182763.0,21.66978,0.0317
2020-04-07,560.0,22.099047010852725,25.019999999999996,22.643177312114986,21.78,22.71398421210772,23.669999999999995,23.57482562035832,560,19,2182763.0,25.65556,0.0339
