,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-27,1.0,0.9648363026488439,0.0,0.9648363026488439,0.0,0.9648363026488439,0.0,0.9648363026488439,1,0,679378.0,0.14719000000000002,0.0
2020-03-28,1.0,0.9628451106334327,0.0,0.9628451106334327,0.0,0.9628451106334327,0.0,0.9628451106334327,1,0,679378.0,0.14719000000000002,0.0
2020-03-29,1.0,0.9654642469409273,0.0,0.9654642469409273,0.0,0.9654642469409273,0.0,0.9654642469409273,1,0,679378.0,0.14719000000000002,0.0
2020-03-30,3.0,1.6818099917900502,0.0,1.6818099917900502,0.0,1.6818099917900502,0.0,1.6818099917900502,3,1,679378.0,0.44158000000000003,0.3333
2020-03-31,3.0,1.7013363731330309,0.0,1.7013363731330309,0.0,1.7013363731330309,0.0,1.7013363731330309,3,1,679378.0,0.44158000000000003,0.3333
2020-04-01,2.9999999999999996,1.6771789686641354,0.0,1.6771789686641354,0.0,1.6771789686641354,0.0,1.6771789686641354,3,1,679378.0,0.44158000000000003,0.3333
2020-04-02,3.0,1.704420870868021,0.0,1.704420870868021,0.0,1.704420870868021,0.0,1.704420870868021,3,1,679378.0,0.44158000000000003,0.3333
2020-04-03,8.0,2.7422250053192174,0.0,2.7422250053192174,0.0,2.7422250053192174,0.0,2.7422250053192174,8,2,679378.0,1.17755,0.25
2020-04-04,7.999999999999999,2.694776091221344,0.0,2.694776091221344,0.0,2.694776091221344,0.0,2.694776091221344,8,2,679378.0,1.17755,0.25
2020-04-05,9.0,2.979119251582843,0.0,2.979119251582843,0.0,2.979119251582843,0.0,2.979119251582843,9,2,679378.0,1.32474,0.2222
2020-04-06,10.0,3.08639896738231,0.0,3.08639896738231,0.0,3.08639896738231,0.0,3.08639896738231,10,2,679378.0,1.47193,0.2
2020-04-07,11.000000000000002,3.180242033861479,0.0,3.180242033861479,0.0,3.180242033861479,0.0,3.180242033861479,11,2,679378.0,1.61913,0.1818
2020-04-08,13.0,3.426604173466227,0.19,3.45269694030857,0.0,3.45269694030857,0.19,3.45269694030857,13,2,679378.0,1.91352,0.1538
2020-04-09,16.999999999999996,3.9249782859851012,0.39999999999999997,3.971606041068845,0.0,3.971606041068845,0.39999999999999997,3.971606041068845,17,2,679378.0,2.5022900000000003,0.1176
2020-04-10,17.999999999999996,4.119134948902832,0.45999999999999996,4.1703084690790835,0.0,4.1703084690790835,0.45999999999999996,4.1703084690790835,18,2,679378.0,2.64948,0.1111
2020-04-11,19.999999999999996,4.307451846990446,0.55,4.36436036712614,0.0,4.36436036712614,0.55,4.469307789939301,20,2,679378.0,2.94387,0.1
2020-04-12,20.0,4.415560181581917,0.8400000000000001,4.499530166269777,0.0,4.499530166269777,0.8400000000000001,4.601944472643378,20,2,679378.0,2.94387,0.1
2020-04-13,24.0,4.830040675738967,0.81,4.903222708514568,0.0,4.903222708514568,0.81,5.183635575325274,24,2,679378.0,3.5326400000000002,0.0833
2020-04-14,24.999999999999993,4.774384512662075,0.71,4.8421738377249,0.0,4.8421738377249,0.71,5.1323671857431385,25,2,679378.0,3.67984,0.08
2020-04-15,29.000000000000004,5.17835432694148,0.8,5.248252426794423,0.0,5.248252426794423,0.8,5.509726202660422,29,3,679378.0,4.26861,0.1034
2020-04-16,36.00000000000001,5.885060695858573,1.55,5.999636605156965,0.66,6.018308682174702,1.55,6.237041758637655,36,5,679378.0,5.29896,0.1389
2020-04-17,39.0,6.0352332518338025,1.4200000000000002,6.147620710814909,0.6,6.1671095664047035,1.4200000000000002,6.73149599894692,39,6,679378.0,5.74055,0.1538
2020-04-18,41.000000000000014,5.895555593629473,1.52,6.012451726007932,0.63,6.031805348117242,1.52,6.588732346923341,41,8,679378.0,6.03493,0.1951
2020-04-19,47.0,6.482174469927964,2.1799999999999997,6.6285583544678754,1.16,6.670246311687888,2.1799999999999997,7.267251019039963,47,9,679378.0,6.918089999999999,0.1915
2020-04-20,50.0,6.642912224941922,2.41,6.803042174518899,1.23,6.835092013154091,2.41,7.470424446719305,50,9,679378.0,7.3596699999999995,0.18
2020-04-21,56.00000000000001,7.591821756058133,2.62,7.739868059324887,1.2,7.7656653015538595,2.62,8.367765351017976,56,12,679378.0,8.24283,0.2143
2020-04-22,56.0,7.115057301528949,3.16,7.310406309093935,1.83,7.355483696130419,2.97,8.084748392229443,56,12,679378.0,8.24283,0.2143
2020-04-23,57.99999999999999,7.23293533327608,2.9,7.402023610834644,1.2,7.428994113293774,2.5,8.400214763969316,58,12,679378.0,8.53722,0.2069
2020-04-24,56.99999999999999,7.177771523279634,2.7199999999999998,7.344685428281053,1.23,7.375737525183772,2.26,8.44605687689094,57,12,679378.0,8.39003,0.2105
2020-04-25,79.0,8.57884407461551,4.53,8.807977387378196,2.32,8.870065707567539,3.9800000000000004,9.829959667806733,79,15,679378.0,11.62828,0.1899
2020-04-26,83.99999999999999,9.093631915474775,4.94,9.317067210991956,2.41,9.366410273639598,4.1000000000000005,10.34666676429241,84,15,679378.0,12.36425,0.1786
2020-04-27,85.0,8.547573345752003,4.37,8.776076008160487,2.55,8.816292310320144,3.56,10.052915150855648,85,15,679378.0,12.511439999999999,0.1765
2020-04-28,101.0,9.879445042280176,5.77,10.139424754069353,3.06,10.198251533642145,5.06,11.236306413505366,101,19,679378.0,14.866539999999999,0.1881
2020-04-29,117.0,10.40161215165877,6.920000000000001,10.673899725664251,3.8,10.718774899844448,6.120000000000001,11.894380559276255,117,20,679378.0,17.22164,0.1709
2020-04-30,126.00000000000001,11.083120298704493,6.619999999999999,11.345146784222562,3.75,11.414020131205111,5.069999999999999,12.833861264229677,126,21,679378.0,18.54638,0.1667
2020-05-01,127.99999999999999,10.902172890638534,7.4399999999999995,11.205836592480445,4.49,11.285418633678315,6.02,12.781393278567643,128,21,679378.0,18.84076,0.1641
2020-05-02,136.0,11.592700594370022,7.92,11.878261954962394,4.4,11.943747614158088,6.4,13.313252150706182,136,21,679378.0,20.01831,0.1544
2020-05-03,137.00000000000003,11.759844360957308,7.460000000000001,12.039532357776169,4.48,12.107020252479114,5.280000000000001,13.743657637344045,137,21,679378.0,20.1655,0.1533
2020-05-04,139.0,11.388608520816055,7.779999999999999,11.676532192410727,4.28,11.743210976577235,5.369999999999999,13.513799867864215,139,21,679378.0,20.459889999999998,0.1511
2020-05-05,144.99999999999997,11.75353804459136,8.96,12.053881390060901,5.07,12.141711434787789,6.340000000000001,14.324860004251844,145,21,679378.0,21.34305,0.1448
2020-05-06,172.00000000000003,12.538103540968244,10.57,12.887208402289474,6.37,12.98665624416233,7.41,14.816280937134016,172,23,679378.0,25.31728,0.1337
2020-05-07,182.0,12.806414112632874,11.129999999999999,13.175573703799106,7.11,13.283585450632014,8.229999999999999,15.112435143271783,182,23,679378.0,26.789209999999997,0.1264
2020-05-08,200.99999999999997,13.509061680026022,12.370000000000001,13.89162508401186,7.43,13.995082974914707,9.650000000000002,15.713740850451606,201,24,679378.0,29.585890000000003,0.1194
2020-05-09,237.0,15.037065316521485,15.550000000000002,15.464773950282408,9.69,15.541979710877676,11.020000000000003,17.797182332883455,237,25,679378.0,34.88485,0.1055
2020-05-10,239.0,14.77956547248787,15.379999999999999,15.205931591177029,9.59,15.36366673537133,10.439999999999998,17.833342282637233,239,25,679378.0,35.17924,0.1046
2020-05-11,239.99999999999997,15.256553485057635,16.07,15.692237706663262,10.03,15.823887772681664,11.7,17.979594943808785,240,25,679378.0,35.32643,0.1042
2020-05-12,245.99999999999997,15.254997525235773,15.68,15.675622778535772,9.11,15.76017288911989,9.91,18.669040785171152,246,27,679378.0,36.209590000000006,0.1098
2020-05-13,320.0,17.40385421147113,19.96,17.890465097759236,11.8,18.03021745332378,13.04,20.832687699086662,320,28,679378.0,47.10191,0.0875
2020-05-14,347.0,17.742951367580403,22.68,18.296707988934056,14.1,18.420084778098154,16.060000000000002,21.52862928260596,347,29,679378.0,51.07613,0.0836
2020-05-15,393.0,19.368249557177098,24.830000000000002,19.885280760127348,15.1,20.015853489399117,17.39,22.8253185004386,393,29,679378.0,57.847030000000004,0.0738
2020-05-16,417.99999999999994,19.856098470360347,26.830000000000002,20.422897602070243,16.34,20.56256663125123,18.910000000000004,23.625999524577864,418,29,679378.0,61.526869999999995,0.0694
2020-05-17,430.0,20.002247348483095,27.65,20.55278080917273,17.3,20.702821039411486,20.189999999999998,23.819469733473042,430,29,679378.0,63.29319,0.0674
2020-05-18,445.00000000000006,20.092337350393564,28.43,20.727313386013638,17.67,20.858634188316838,20.65,23.78997528881491,445,29,679378.0,65.50109,0.0652
2020-05-19,468.99999999999994,20.423407050625894,30.79,21.0534475931035,18.66,21.22338463948565,21.83,24.259919870461484,469,29,679378.0,69.03373,0.0618
